"variable","n_miss","pct_miss"
"LBXSZN",1062,68.3837733419189
"LBDSZNSI",1062,68.3837733419189
"LBXSCU",1061,68.3193818415969
"LBDSCUSI",1061,68.3193818415969
"LBXSSE",1061,68.3193818415969
"LBDSSESI",1061,68.3193818415969
"SSSNFL",1058,68.126207340631
"SSNFLH",1058,68.126207340631
"SSNFLL",1058,68.126207340631
"WTSSNH2Y",1053,67.8042498390213
"URXUCR.y",1045,67.2891178364456
"WTSA2YR",1036,66.709594333548
"LBXIN",818,52.6722472633612
"LBDINSI",818,52.6722472633612
"LBDLDL",811,52.2215067611075
"LBDLDLSI",811,52.2215067611075
"LBXTR",806,51.8995492594977
"LBDTRSI",806,51.8995492594977
"LBXGLU",799,51.448808757244
"LBDGLUSI",799,51.448808757244
"LBXBPB",798,51.3844172569221
"LBDBPBSI",798,51.3844172569221
"LBDBPBLC",798,51.3844172569221
"LBXBCD",798,51.3844172569221
"LBDBCDSI",798,51.3844172569221
"LBDBCDLC",798,51.3844172569221
"LBXTHG",798,51.3844172569221
"LBDTHGSI",798,51.3844172569221
"LBDTHGLC",798,51.3844172569221
"LBXBSE",798,51.3844172569221
"LBDBSESI",798,51.3844172569221
"LBDBSELC",798,51.3844172569221
"LBXBMN",798,51.3844172569221
"LBDBMNSI",798,51.3844172569221
"LBDBMNLC",798,51.3844172569221
"PHAFSTHR.x",786,50.6117192530586
"PHAFSTMN.x",786,50.6117192530586
"PHAFSTHR.y",786,50.6117192530586
"PHAFSTMN.y",786,50.6117192530586
"WTSAF2YR.x",776,49.967804249839
"WTSAF2YR.y",776,49.967804249839
"WTSAF2YR",776,49.967804249839
"WTSH2YR",775,49.9034127495171
"grip_strength",172,11.0753380553767
"waist",91,5.85962652929813
"LBXVE3MS",84,5.40888602704443
"LBDVE3LC",84,5.40888602704443
"LBXSCA",73,4.7005795235029
"LBDSCASI",73,4.7005795235029
"LBXSIR",71,4.57179652285898
"LBDSIRSI",71,4.57179652285898
"LBDB12",69,4.44301352221507
"LBDB12SI",69,4.44301352221507
"LBXMMASI",68,4.37862202189311
"LBDMMALC",68,4.37862202189311
"LBXSGB",66,4.2498390212492
"LBDSGBSI",66,4.2498390212492
"LBXSTP",66,4.2498390212492
"LBDSTPSI",66,4.2498390212492
"LBXSAL",65,4.18544752092724
"LBDSALSI",65,4.18544752092724
"LBXSAPSI",65,4.18544752092724
"LBXSASSI",65,4.18544752092724
"LBXSATSI",65,4.18544752092724
"LBXSBU",65,4.18544752092724
"LBDSBUSI",65,4.18544752092724
"LBXSC3SI",65,4.18544752092724
"LBXSCH",65,4.18544752092724
"LBDSCHSI",65,4.18544752092724
"LBXSCK",65,4.18544752092724
"LBXSCLSI",65,4.18544752092724
"LBXSCR",65,4.18544752092724
"LBDSCRSI",65,4.18544752092724
"LBXSGL",65,4.18544752092724
"LBDSGLSI",65,4.18544752092724
"LBXSGTSI",65,4.18544752092724
"LBXSKSI",65,4.18544752092724
"LBXSLDSI",65,4.18544752092724
"LBXSNASI",65,4.18544752092724
"LBXSOSSI",65,4.18544752092724
"LBXSPH",65,4.18544752092724
"LBDSPHSI",65,4.18544752092724
"LBXSTB",65,4.18544752092724
"LBDSTBSI",65,4.18544752092724
"LBXSTR",65,4.18544752092724
"LBDSTRSI",65,4.18544752092724
"LBXSUA",65,4.18544752092724
"LBDSUASI",65,4.18544752092724
"LBDRFO",65,4.18544752092724
"LBDRFOSI",65,4.18544752092724
"LBDHDD",60,3.86349001931745
"LBDHDDSI",60,3.86349001931745
"LBXTC",60,3.86349001931745
"LBDTCSI",60,3.86349001931745
"LBXLYPCT",51,3.28396651641983
"LBXMOPCT",51,3.28396651641983
"LBXNEPCT",51,3.28396651641983
"LBXEOPCT",51,3.28396651641983
"LBXBAPCT",51,3.28396651641983
"LBDLYMNO",51,3.28396651641983
"LBDMONO",51,3.28396651641983
"LBDNENO",51,3.28396651641983
"LBDEONO",51,3.28396651641983
"LBDBANO",51,3.28396651641983
"LBXVIDMS",51,3.28396651641983
"LBDVIDLC",51,3.28396651641983
"LBXVD2MS",51,3.28396651641983
"LBDVD2LC",51,3.28396651641983
"LBXVD3MS",51,3.28396651641983
"LBDVD3LC",51,3.28396651641983
"mean_sbp",51,3.28396651641983
"mean_dbp",51,3.28396651641983
"LBXGH",46,2.96200901481004
"LBXWBCSI",45,2.89761751448809
"LBXRBCSI",45,2.89761751448809
"LBXHGB",45,2.89761751448809
"LBXHCT",45,2.89761751448809
"LBXMCVSI",45,2.89761751448809
"LBXMCHSI",45,2.89761751448809
"LBXMC",45,2.89761751448809
"LBXRDW",45,2.89761751448809
"LBXPLTSI",45,2.89761751448809
"LBXMPSI",45,2.89761751448809
"URXUMA",26,1.6741790083709
"URXUMS",26,1.6741790083709
"URXUCR.x",26,1.6741790083709
"URXCRS",26,1.6741790083709
"URDACT",26,1.6741790083709
"bmi",22,1.41661300708307
"height",18,1.15904700579523
"weight",15,0.965872504829363
